,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.0012588036168820922,0.002732501771506275,-1.5842541731609943,263500.0,10922
1,I,left_arm,0.0019401922184404197,0.00418596340861119,-1.5767572963200671,2192500.0,105776
2,I,center,0.0007122909518623206,0.0018425484125635754,-1.8028180503463291,7449000.0,100391
3,I,right_arm,0.0019606741077697644,0.004727455982048532,-1.7200774385189201,12957500.0,137519
4,I,right_tip,0.0010572571550689692,0.0027544543333526306,-1.8083122792541022,14973717.0,4125
5,I,full,0.0013249151299550832,0.003137523699480206,-1.6979679908001033,7536217.0,358733
6,II,left_tip,0.0010180536270605856,0.0030085214465887895,-1.9428611873184014,153000.0,6979
7,II,left_arm,0.003990413301117862,0.006354558936260979,-1.0934442663880033,2592500.0,220604
8,II,center,0.0011282425298325082,0.002312950332503526,-1.505371281404068,8449500.0,125323
9,II,right_arm,0.0026268199472197977,0.004901769300600891,-1.3639899044341601,13314500.0,96274
10,II,right_tip,0.001335404866687196,0.0028056547687954985,-1.5395388981164455,14944210.5,14276
11,II,full,0.0022456406260875942,0.003996731806480634,-1.2877095305243673,7639710.5,463456
12,III,left_tip,0.002952535348320287,0.0058816381002426915,-1.463307709789766,247000.0,22074
13,III,left_arm,0.0029925727406029125,0.005015718743969507,-1.185474738592232,2108000.0,123304
14,III,center,0.0010216010714250575,0.0019871397299165154,-1.4280207476318874,7031000.0,99842
15,III,right_arm,0.001971993124086472,0.0038863342565034612,-1.447663899374866,11778500.0,84845
16,III,right_tip,0.0008847699291585289,0.0025983655302546727,-1.9372704894799497,13500400.5,11174
17,III,full,0.0017450720192832246,0.00325743496836213,-1.3645591479135384,6891900.5,341239
18,IV,left_tip,0.0012268130491157464,0.0026010026012423595,-1.5521681506316627,360000.0,14239
19,IV,left_arm,0.002525624603629574,0.004816142885286621,-1.3977560850747341,2308000.0,116008
20,IV,center,0.001098290967533044,0.0022523445246229483,-1.5058922391752698,8433000.0,155074
21,IV,right_arm,0.0018809296365093309,0.004208023759091035,-1.6252995433320008,14841000.0,119420
22,IV,right_tip,0.0036893429684845542,0.0050661691920622694,-0.7986029497419207,17102914.5,30041
23,IV,full,0.0016459197657448822,0.003276232246685382,-1.4625474102005627,8746914.5,434782
24,V,left_tip,0.00652498563720203,0.00949404771493396,-0.9190314776979311,321500.0,46276
25,V,left_arm,0.0032366363911544268,0.006889718627578105,-1.5583613859805618,3270000.0,274450
26,V,center,0.0022309978965087294,0.004123764417105104,-1.3490098386733962,11223500.0,333210
27,V,right_arm,0.004707475265213085,0.007977504477626957,-1.2047387293773992,18443500.0,229422
28,V,right_tip,0.003538953733715625,0.005871476228548886,-1.1673385959276226,20630590.0,26138
29,V,full,0.0031003644359897235,0.005729805677415523,-1.348778229305028,10462090.0,909497
30,X,left_tip,0.0010196239540967821,0.0023609724952460497,-1.668827194567556,286000.0,10256
31,X,left_arm,0.001362334714217769,0.0030467841384235294,-1.6248584122313854,3354500.0,128587
32,X,center,0.0013947947648896208,0.002848243706754921,-1.499764734917581,9308500.0,136996
33,X,right_arm,0.0018125473131283564,0.0037428790955546113,-1.5157315289821445,14448500.0,111733
34,X,right_tip,0.0009681229012198151,0.002406309964941471,-1.7561916797424493,17067971.0,23781
35,X,full,0.0014339598260618045,0.0030611783872014453,-1.5623224924093557,8859471.0,411353
