Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p001,A01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,JU775,1,,,
p001,B11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,MY16,1,,,
p001,B12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,DL238,1,,,
p001,C01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,JU775,1,,,
p001,C02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CX11314,1,,,
p001,C03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,PD1074,1,,,
p001,C04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CB4856,1,,,
p001,C05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,MY16,1,,,
p001,C06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,DL238,1,,,
p001,C07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,JU775,1,,,
p001,C08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CX11314,1,,,
p001,C09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,PD1074,1,,,
p001,C10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CB4856,1,,,
p001,C11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,MY16,1,,,
p001,C12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,DL238,1,,,
p001,D01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,JU775,1,,,
p001,D02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CX11314,1,,,
p001,D03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,PD1074,1,,,
p001,D04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CB4856,1,,,
p001,D05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,MY16,1,,,
p001,D06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,DL238,1,,,
p001,D07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,JU775,1,,,
p001,D08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CX11314,1,,,
p001,D09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,PD1074,1,,,
p001,D10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CB4856,1,,,
p001,D11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,MY16,1,,,
p001,D12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,DL238,1,,,
p001,E01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,JU775,1,,,
p001,E02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CX11314,1,,,
p001,E03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,PD1074,1,,,
p001,E04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CB4856,1,,,
p001,E05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,MY16,1,,,
p001,E06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,DL238,1,,,
p001,E07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,JU775,1,,,
p001,E08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CX11314,1,,,
p001,E09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,PD1074,1,,,
p001,E10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CB4856,1,,,
p001,E11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,MY16,1,,,
p001,E12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,DL238,1,,,
p001,F01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,JU775,1,,,
p001,F02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CX11314,1,,,
p001,F03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,PD1074,1,,,
p001,F04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CB4856,1,,,
p001,F05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,MY16,1,,,
p001,F06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,DL238,1,,,
p001,F07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,JU775,1,,,
p001,F08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CX11314,1,,,
p001,F09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,PD1074,1,,,
p001,F10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CB4856,1,,,
p001,F11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,MY16,1,,,
p001,F12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,DL238,1,,,
p001,G01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,JU775,1,,,
p001,G02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CX11314,1,,,
p001,G03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,PD1074,1,,,
p001,G04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CB4856,1,,,
p001,G05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,MY16,1,,,
p001,G06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,DL238,1,,,
p001,G07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,JU775,1,,,
p001,G08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CX11314,1,,,
p001,G09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,PD1074,1,,,
p001,G10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CB4856,1,,,
p001,G11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,MY16,1,,,
p001,G12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,DL238,1,,,
p001,H01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,JU775,1,,,
p001,H02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CX11314,1,,,
p001,H03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,PD1074,1,,,
p001,H04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CB4856,1,,,
p001,H05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,MY16,1,,,
p001,H06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,DL238,1,,,
p001,H07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,JU775,1,,,
p001,H08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CX11314,1,,,
p001,H09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,PD1074,1,,,
p001,H10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CB4856,1,,,
p001,H11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,MY16,1,,,
p001,H12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,DL238,1,,,
p002,A01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,JU775,1,,,
p002,A02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CX11314,1,,,
p002,A03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,PD1074,1,,,
p002,A04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CB4856,1,,,
p002,A05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,MY16,1,,,
p002,A06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,DL238,1,,,
p002,A07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,JU775,1,,,
p002,A08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CX11314,1,,,
p002,A09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,PD1074,1,,,
p002,A10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CB4856,1,,,
p002,A11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,MY16,1,,,
p002,A12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,DL238,1,,,
p002,B01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,JU775,1,,,
p002,B02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CX11314,1,,,
p002,B03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,PD1074,1,,,
p002,B04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CB4856,1,,,
p002,B05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,MY16,1,,,
p002,B06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,DL238,1,,,
p002,B07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,JU775,1,,,
p002,B08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CX11314,1,,,
p002,B09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,PD1074,1,,,
p002,B10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CB4856,1,,,
p002,B11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,MY16,1,,,
p002,B12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,DL238,1,,,
p002,C01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,JU775,1,,,
p002,C02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CX11314,1,,,
p002,C03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,PD1074,1,,,
p002,C04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CB4856,1,,,
p002,C05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,MY16,1,,,
p002,C06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,DL238,1,,,
p002,C07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,JU775,1,,,
p002,C08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CX11314,1,,,
p002,C09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,PD1074,1,,,
p002,C10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CB4856,1,,,
p002,C11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,MY16,1,,,
p002,C12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,DL238,1,,,
p002,D01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,JU775,1,,,
p002,D02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CX11314,1,,,
p002,D03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,PD1074,1,,,
p002,D04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CB4856,1,,,
p002,D05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,MY16,1,,,
p002,D06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,DL238,1,,,
p002,D07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,JU775,1,,,
p002,D08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CX11314,1,,,
p002,D09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,PD1074,1,,,
p002,D10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CB4856,1,,,
p002,D11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,MY16,1,,,
p002,D12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,DL238,1,,,
p002,E01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,JU775,1,,,
p002,E02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CX11314,1,,,
p002,E03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,PD1074,1,,,
p002,E04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CB4856,1,,,
p002,E05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,MY16,1,,,
p002,E06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,DL238,1,,,
p002,E07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,JU775,1,,,
p002,E08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CX11314,1,,,
p002,E09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,PD1074,1,,,
p002,E10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,CB4856,1,,,
p002,E11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,MY16,1,,,
p002,E12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,10.64801,20200805,serial; see notes,DL238,1,,,
p002,F01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,JU775,1,,,
p002,F02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CX11314,1,,,
p002,F03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,PD1074,1,,,
p002,F04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CB4856,1,,,
p002,F05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,MY16,1,,,
p002,F06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,DL238,1,,,
p002,F07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,JU775,1,,,
p002,F08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CX11314,1,,,
p002,F09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,PD1074,1,,,
p002,F10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,CB4856,1,,,
p002,F11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,MY16,1,,,
p002,F12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,23.42562,20200805,serial; see notes,DL238,1,,,
p002,G01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,JU775,1,,,
p002,G02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CX11314,1,,,
p002,G03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,PD1074,1,,,
p002,G04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CB4856,1,,,
p002,G05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,MY16,1,,,
p002,G06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,DL238,1,,,
p002,G07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,JU775,1,,,
p002,G08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CX11314,1,,,
p002,G09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,PD1074,1,,,
p002,G10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,CB4856,1,,,
p002,G11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,MY16,1,,,
p002,G12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,51.53636,20200805,serial; see notes,DL238,1,,,
p002,H01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,JU775,1,,,
p002,H02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CX11314,1,,,
p002,H03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,PD1074,1,,,
p002,H04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CB4856,1,,,
p002,H05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,MY16,1,,,
p002,H06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,DL238,1,,,
p002,H07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,JU775,1,,,
p002,H08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CX11314,1,,,
p002,H09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,PD1074,1,,,
p002,H10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,CB4856,1,,,
p002,H11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,MY16,1,,,
p002,H12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,113.38,20200805,serial; see notes,DL238,1,,,
p003,A01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,DL238,2,,,
p003,A02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,MY16,2,,,
p003,A03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CB4856,2,,,
p003,A04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,PD1074,2,,,
p003,A05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CX11314,2,,,
p003,A06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,JU775,2,,,
p003,A07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,DL238,2,,,
p003,A08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,MY16,2,,,
p003,A09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CB4856,2,,,
p003,A10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,PD1074,2,,,
p003,A11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,CX11314,2,,,
p003,A12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,0,20200805,serial; see notes,JU775,2,,,
p003,B01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,DL238,2,,,
p003,B02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,MY16,2,,,
p003,B03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CB4856,2,,,
p003,B04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,PD1074,2,,,
p003,B05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CX11314,2,,,
p003,B06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,JU775,2,,,
p003,B07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,DL238,2,,,
p003,B08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,MY16,2,,,
p003,B09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CB4856,2,,,
p003,B10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,PD1074,2,,,
p003,B11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,CX11314,2,,,
p003,B12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,1,20200805,serial; see notes,JU775,2,,,
p003,C01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,DL238,2,,,
p003,C02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,MY16,2,,,
p003,C03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CB4856,2,,,
p003,C04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,PD1074,2,,,
p003,C05,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CX11314,2,,,
p003,C06,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,JU775,2,,,
p003,C07,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,DL238,2,,,
p003,C08,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,MY16,2,,,
p003,C09,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CB4856,2,,,
p003,C10,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,PD1074,2,,,
p003,C11,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,CX11314,2,,,
p003,C12,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,2.2,20200805,serial; see notes,JU775,2,,,
p003,D01,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,DL238,2,,,
p003,D02,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,MY16,2,,,
p003,D03,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,CB4856,2,,,
p003,D04,48h,10,15hHB101_20200813,DMSO,1,fenbendazole,4.84,20200805,serial; see notes,PD1074,2,,,
