Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p001,C02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CX11314,1,,,
p001,C03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,PD1074,1,,,
p001,C04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CB4856,1,,,
p001,C05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,MY16,1,,,
p001,C06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,DL238,1,,,
p001,C07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,JU775,1,,,
p001,C08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CX11314,1,,,
p001,C09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,PD1074,1,,,
p001,C10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CB4856,1,,,
p001,C11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,MY16,1,,,
p001,C12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,DL238,1,,,
p001,D01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,JU775,1,,,
p001,D02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CX11314,1,,,
p001,D03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,PD1074,1,,,
p001,D04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CB4856,1,,,
p001,D05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,MY16,1,,,
p001,D06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,DL238,1,,,
p001,D07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,JU775,1,,,
p001,D08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CX11314,1,,,
p001,D09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,PD1074,1,,,
p001,D10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CB4856,1,,,
p001,D11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,MY16,1,,,
p001,D12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,DL238,1,,,
p001,E01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,JU775,1,,,
p001,E02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,CX11314,1,,,
p001,E03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,PD1074,1,,,
p001,E04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,CB4856,1,,,
p001,E05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,MY16,1,,,
p001,E06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,DL238,1,,,
p001,E07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,JU775,1,,,
p001,E08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,CX11314,1,,,
p001,E09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,PD1074,1,,,
p001,E10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,CB4856,1,,,
p001,E11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,MY16,1,,,
p001,E12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,DL238,1,,,
p001,F01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,JU775,1,,,
p001,F02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,CX11314,1,,,
p001,F03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,PD1074,1,,,
p001,F04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,CB4856,1,,,
p001,F05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,MY16,1,,,
p001,F06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,DL238,1,,,
p001,F07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,JU775,1,,,
p001,F08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,CX11314,1,,,
p001,F09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,PD1074,1,,,
p001,F10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,CB4856,1,,,
p001,F11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,MY16,1,,,
p001,F12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00533,20200805,serial; see notes,DL238,1,,,
p001,G01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,JU775,1,,,
p001,G02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,CX11314,1,,,
p001,G03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,PD1074,1,,,
p001,G04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,CB4856,1,,,
p001,G05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,MY16,1,,,
p001,G06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,DL238,1,,,
p001,G07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,JU775,1,,,
p001,G08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,CX11314,1,,,
p001,G09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,PD1074,1,,,
p001,G10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,CB4856,1,,,
p001,G11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,MY16,1,,,
p001,G12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.008,20200805,serial; see notes,DL238,1,,,
p001,H01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,JU775,1,,,
p001,H02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,CX11314,1,,,
p001,H03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,PD1074,1,,,
p001,H04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,CB4856,1,,,
p001,H05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,MY16,1,,,
p001,H06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,DL238,1,,,
p001,H07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.012,20200805,serial; see notes,JU775,1,,,
