Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p007,A01,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,JU775,1,,,
p007,A02,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,CX11314,1,,,
p007,A03,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,PD1074,1,,,
p007,A04,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,CB4856,1,,,
p007,A05,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,MY16,1,,,
p007,A06,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,DL238,1,,,
p007,A07,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,JU775,1,,,
p007,A08,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,CX11314,1,,,
p007,A09,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,PD1074,1,,,
p007,A10,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,CB4856,1,,,
p007,A11,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,MY16,1,,,
p007,A12,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0,20200805,serial; see notes,DL238,1,,,
p007,B01,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,JU775,1,,,
p007,B02,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,CX11314,1,,,
p007,B03,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,PD1074,1,,,
p007,B04,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,CB4856,1,,,
p007,B05,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,MY16,1,,,
p007,B06,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,DL238,1,,,
p007,B07,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,JU775,1,,,
p007,B08,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,CX11314,1,,,
p007,B09,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,PD1074,1,,,
p007,B10,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,CB4856,1,,,
p007,B11,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,MY16,1,,,
p007,B12,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00134,20200805,serial; see notes,DL238,1,,,
p007,C01,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,JU775,1,,,
p007,C02,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,CX11314,1,,,
p007,C03,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,PD1074,1,,,
p007,C04,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,CB4856,1,,,
p007,C05,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,MY16,1,,,
p007,C06,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,DL238,1,,,
p007,C07,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,JU775,1,,,
p007,C08,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,CX11314,1,,,
p007,C09,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,PD1074,1,,,
p007,C10,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,CB4856,1,,,
p007,C11,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,MY16,1,,,
p007,C12,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00161,20200805,serial; see notes,DL238,1,,,
p007,D01,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,JU775,1,,,
p007,D02,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,CX11314,1,,,
p007,D03,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,PD1074,1,,,
p007,D04,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,CB4856,1,,,
p007,D05,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,MY16,1,,,
p007,D06,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,DL238,1,,,
p007,D07,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,JU775,1,,,
p007,D08,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,CX11314,1,,,
p007,D09,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,PD1074,1,,,
p007,D10,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,CB4856,1,,,
p007,D11,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,MY16,1,,,
p007,D12,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00193,20200805,serial; see notes,DL238,1,,,
p007,E01,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00231,20200805,serial; see notes,JU775,1,,,
p007,E02,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00231,20200805,serial; see notes,CX11314,1,,,
p007,E03,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00231,20200805,serial; see notes,PD1074,1,,,
p007,E04,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00231,20200805,serial; see notes,CB4856,1,,,
p007,E05,48h,10,15hHB101_20200813,DMSO,1,moxidectin,0.00231,20200805,serial; see notes,MY16,1,,,
