Anthelmintic,strain1,strain2,Relative.Potency.Estimate,SE,t.value,p.value,p...0.05
Morantel,DL238,MY16,1.33318674345162,0.192835203877737,1.72783152013503,0.084309,F
Morantel,DL238,N2,0.64869647313706,0.0735109728468829,-4.77892637327322,0.000002,T
Morantel,JU775,MY16,1.92948531828312,0.267067469120423,3.48033896207707,0.000521,T
Morantel,JU775,N2,0.938840959143861,0.0991359754859475,-0.616920755117886,0.537419,F
Morantel,MY16,N2,0.486575850175037,0.0632800402954316,-8.11352438190576,<< 0.00001,T
Derquantel,CB4856,CX11314,0.993537828389292,0.125132197554995,-0.0516427565165061,0.958825,F
Derquantel,CB4856,DL238,1.03406126764994,0.128804786898699,0.264441007745512,0.791504,F
Derquantel,CB4856,JU775,1.20581451211021,0.15845335051553,1.29889656129446,0.194328,F
Derquantel,CB4856,MY16,1.0050580356618,0.134070199350702,0.0377267706492592,0.969914,F
Derquantel,CB4856,N2,0.767191005237678,0.0991568419770107,-2.34788633966679,0.019106,T
Derquantel,CX11314,DL238,1.04078701193123,0.123796242537404,0.329468900632504,0.741882,F
Derquantel,CX11314,JU775,1.21365737433979,0.15572002577211,1.37206100037815,0.170403,F
Derquantel,CX11314,MY16,1.0115951370379,0.130998745905485,0.0885133438320612,0.929489,F
Derquantel,CX11314,N2,0.772180971188019,0.0973421585824059,-2.34039425599052,0.019491,T
Derquantel,DL238,JU775,1.16609581059989,0.147158205990032,1.12868874340004,0.259344,F
Derquantel,DL238,MY16,0.971952114545352,0.124600819097918,-0.225101934784283,0.821954,F
Derquantel,DL238,N2,0.741920260664281,0.0918653425621889,-2.80932647870997,0.005077,T
Derquantel,JU775,MY16,0.83350965307502,0.11187948348909,-1.48812223414684,0.137086,F
Derquantel,JU775,N2,0.636242968991204,0.0826408478404436,-4.40166141217609,0.000012,T
Derquantel,MY16,N2,0.763330054599786,0.10104298891485,-2.34226983922316,0.019394,T
Niridazole,CB4856,CX11314,0.806713483928208,0.0485528390710007,-3.98095188191038,0.000074,T
Niridazole,CB4856,DL238,0.659789076238885,0.0471124151490346,-7.22125840258661,<< 0.00001,T
Niridazole,CB4856,JU775,0.969233442932967,0.0561345401512844,-0.548086026608853,0.583759,F
Niridazole,CB4856,MY16,0.901073334503008,0.0509799989733802,-1.94049955843758,0.05261,F
Niridazole,CB4856,N2,0.821006096960929,0.0485008397893668,-3.69053203648472,0.000236,T
Niridazole,CX11314,DL238,0.817872874798262,0.0595548263939852,-3.05814215621879,0.002288,T
