Anthelmintic,strain1,strain2,Relative.Potency.Estimate,SE,t.value,p.value,p...0.05
Fenbendazole,MY16,N2,3.58179168962721,0.266182306282509,9.69933623945334,<< 0.00001,T
Mebendazole,CB4856,CX11314,0.689565866078806,0.0363926227116889,-8.53013909935889,<< 0.00001,T
Mebendazole,CB4856,DL238,0.881638750725656,0.0447287257444621,-2.64620212859514,0.008239,T
Mebendazole,CB4856,JU775,0.905299794413277,0.0483288282948347,-1.95949723856319,0.05027,F
Mebendazole,CB4856,MY16,0.230027528004379,0.018869491646755,-40.8051518509263,<< 0.00001,T
Mebendazole,CB4856,N2,0.868908129998662,0.044069354588356,-2.9746718831225,0.002988,T
Mebendazole,CX11314,DL238,1.27854175227534,0.0649552295538061,4.2882113447787,0.000019,T
Mebendazole,CX11314,JU775,1.31285470895077,0.0700302722601598,4.4674210002858,0.000009,T
Mebendazole,CX11314,MY16,0.3335831126799,0.0272941233894254,-24.4161308209771,<< 0.00001,T
Mebendazole,CX11314,N2,1.26007996152663,0.0639033105934901,4.06989808683133,0.00005,T
Mebendazole,DL238,JU775,1.02683757226885,0.0527978915996512,0.508307651228816,0.611325,F
Mebendazole,DL238,MY16,0.260909048989792,0.0210789104053475,-35.0630529186512,<< 0.00001,T
Mebendazole,DL238,N2,0.985560275434223,0.0479258742831455,-0.301292877422904,0.76324,F
Mebendazole,JU775,MY16,0.254089893120389,0.0209213905775521,-35.652988940417,<< 0.00001,T
Mebendazole,JU775,N2,0.959801532443515,0.0492928880372016,-0.815502380914409,0.414936,F
Mebendazole,MY16,N2,3.77740932807885,0.305091148580449,9.10353951926102,<< 0.00001,T
Thiabendazole,CB4856,CX11314,1.08360279970678,0.0501134257622137,1.66827149481803,0.095504,F
Thiabendazole,CB4856,DL238,1.36272623176195,0.05556813171749,6.5275945141734,<< 0.00001,T
Thiabendazole,CB4856,JU775,1.40669706850304,0.058350402993857,6.96991019146612,<< 0.00001,T
Thiabendazole,CB4856,MY16,0.462928033738919,0.0266035585826587,-20.1879746497962,<< 0.00001,T
Thiabendazole,CB4856,N2,0.903867712084116,0.039366341930201,-2.44199189465793,0.01474,T
Thiabendazole,CX11314,DL238,1.25758832676577,0.0559135581585431,4.60690278439044,0.000004,T
Thiabendazole,CX11314,JU775,1.29816669805918,0.0584040176619451,5.10524292669448,<< 0.00001,T
Thiabendazole,CX11314,MY16,0.427211921069405,0.0256618308291282,-22.3206240717804,<< 0.00001,T
Thiabendazole,CX11314,N2,0.834131946067969,0.0389034972185914,-4.26357694785252,0.000022,T
Thiabendazole,DL238,JU775,1.03226681611921,0.0402632380227343,0.801396452540423,0.423049,F
